Recording timestamp	Eye movement type index	Gaze event duration	Fixation point X	Fixation point Y	target	phone_x	phone_y
1478899.0	2095	120.0	903.0	442.0	cell phone	0.39135039273579225	0.2056039072313721
1479019.0	2096	80.0	1040.0	387.0	cell phone	0.7025319057464551	0.15097593334800827
1479329.0	2097	300.0	989.0	377.0	cell phone	0.7696327446226905	0.18502399872610245
1479639.0	2098	280.0	1007.0	393.0	cell phone	0.8052530453858802	0.16373568153696627
1480029.0	2099	100.0	909.0	400.0	cell phone	0.49646560306025267	0.16387575733939483
1480409.0	2100	500.0	997.0	413.0	cell phone	0.5497988919259756	0.20158399985272812
1480979.0	2101	80.0	1091.0	366.0	cell phone	0.7656565656565657	0.17894736842105263
1481489.0	2102	140.0	1031.0	374.0	cell phone	0.8352851517710717	0.2784956109109551
1481749.0	2103	140.0	967.0	392.0	cell phone	0.8244434451843934	0.2579595448867792
1482009.0	2104	140.0	963.0	439.0	cell phone	0.7094521585310538	0.32234531348488293
1482469.0	2105	100.0	1196.0	348.0	pavement		
1482729.0	2106	340.0	1049.0	481.0	person		
1483158.0	2107	200.0	1033.0	325.0	floor		
1485098.0	2108	160.0	1076.0	402.0	pavement		
1485268.0	2109	80.0	1060.0	381.0	pavement		
1485478.0	2110	160.0	1052.0	386.0	pavement		
1485998.0	2111	120.0	1019.0	330.0	cell phone	0.9552997763473798	0.4391496106998402
1488107.0	2112	220.0	1138.0	434.0	person		
1491816.0	2113	120.0	1053.0	428.0	cell phone	0.6626865671641791	0.5102685624012638
1492186.0	2114	100.0	948.0	460.0	cell phone	0.3433734939759036	0.5721153846153846
1492596.0	2115	240.0	1021.0	442.0	cell phone	0.5323529411764706	0.5135566188197768
1492916.0	2116	80.0	965.0	471.0	cell phone	0.5536105032822757	0.49768875192604006
1495465.0	2117	140.0	1067.0	297.0	cell phone	0.829736211031175	0.1791044776119403
1495755.0	2118	160.0	1038.0	461.0	cell phone	0.7692307692307693	0.498371335504886
1498325.0	2119	100.0	1059.0	399.0	cell phone	0.9381582354448768	0.6063646511445093
1500035.0	2120	80.0	1096.0	440.0	person		
1500245.0	2121	260.0	1111.0	445.0	person		
1500724.0	2122	260.0	1080.0	399.0	person		
1501404.0	2123	620.0	903.0	300.0	cell phone	0.6091466509481385	0.229846173147703
1501924.0	2124	180.0	1044.0	372.0	cell phone	0.8914560655856376	0.3126558577643752
1502374.0	2125	280.0	967.0	299.0	cell phone	0.6366401445979533	0.2024816041799931
1502594.0	2126	120.0	990.0	411.0	cell phone	0.6483678950782534	0.46503116815631945
1502844.0	2127	340.0	985.0	388.0	cell phone	0.5759881666154597	0.4936619218204222
1503704.0	2128	220.0	955.0	240.0	cell phone	0.3574868743538326	0.056561024420786185
1504054.0	2129	320.0	939.0	262.0	cell phone	0.3243921561228823	0.056162323722478646
1504384.0	2130	140.0	1028.0	438.0	cell phone	0.6892058114603743	0.5729385285606515
1504603.0	2131	260.0	1148.0	386.0	pavement		
1504823.0	2132	100.0	946.0	420.0	cell phone	0.6247048672079377	0.5780131741261719
1506823.0	2133	260.0	1101.0	412.0	cell phone	0.9799335876355132	0.5102076230085428
1512711.0	2134	200.0	1071.0	460.0	cell phone	0.8672933173719949	0.5934645019957522
1517280.0	2135	100.0	904.0	458.0	cell phone	0.4834782341061284	0.5728797350555757
1518020.0	2136	180.0	884.0	453.0	cell phone	0.6261143787410963	0.5848756119433921
1518700.0	2137	180.0	887.0	448.0	cell phone	0.3143088239886388	0.6353280553869031
1520340.0	2138	100.0	1029.0	395.0	cell phone	0.84413955672541	0.5687469700140717
1520969.0	2139	120.0	927.0	418.0	cell phone	0.6752305787562776	0.5704618384279215
1521339.0	2140	100.0	966.0	448.0	cell phone	0.6559913807910995	0.5608974267311759
1521829.0	2141	600.0	963.0	461.0	cell phone	0.6409600745145988	0.5399603326076052
1522279.0	2142	100.0	974.0	448.0	cell phone	0.7026419469080059	0.5750903438461417
1522449.0	2143	200.0	995.0	459.0	cell phone	0.778763123538442	0.5070328028058327
1522669.0	2144	160.0	940.0	474.0	cell phone	0.5901146156158948	0.5576725133857803
1522859.0	2145	180.0	992.0	443.0	cell phone	0.7369809349680234	0.5091347483219555
1523189.0	2146	280.0	958.0	445.0	cell phone	0.6498126045634958	0.5517464636584735
1523979.0	2147	1260.0	848.0	484.0	cell phone	0.4041126405816824	0.5960353331143136
1524729.0	2148	200.0	990.0	458.0	cell phone	0.7701052391906036	0.46934063782450197
1525038.0	2149	380.0	913.0	484.0	cell phone	0.5284648239783464	0.6579807875154278
1525628.0	2150	780.0	899.0	503.0	cell phone	0.37124359760554915	0.7558350861235341
1526378.0	2151	560.0	962.0	183.0	cell phone	0.5513428427349092	0.10062786103036246
1526728.0	2152	120.0	1006.0	251.0	cell phone	0.7457959369975722	0.14952146961421128
1527048.0	2153	320.0	1004.0	222.0	cell phone	0.8042759832494057	0.08887411706402126
1527778.0	2154	980.0	901.0	488.0	cell phone	0.3817733990147783	0.6900584795321637
1528598.0	2155	620.0	926.0	507.0	cell phone	0.43796012395808254	0.6953075521111902
1529098.0	2156	340.0	983.0	447.0	cell phone	0.6636620726004657	0.5928244356646699
1529397.0	2157	220.0	828.0	461.0	cell phone	0.33058592079765	0.5718077546668581
1529927.0	2158	800.0	908.0	506.0	cell phone	0.6103138653528207	0.5638920680195209
1530527.0	2159	360.0	842.0	524.0	cell phone	0.3538514475745398	0.634753839808897
1530797.0	2160	140.0	913.0	498.0	cell phone	0.6565871392456656	0.5966666155276593
1531087.0	2161	400.0	906.0	465.0	cell phone	0.5611108997068829	0.582298751518917
